method_id,method,scale,dimension,evaluation,n_runs,success_rate,mean_best_so_far,std_best_so_far,q25_best_so_far,q75_best_so_far,sem_best_so_far
ft_hsbo,FT-HSBO,large,80-D,69,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,70,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,71,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,72,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,73,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,74,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,75,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,76,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,77,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,78,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,79,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,80,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,81,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,82,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,83,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
ft_hsbo,FT-HSBO,large,80-D,84,20,1.0,51.76397244729467,10.77434773482738,45.4875945468396,61.647528610591635,2.40921739482949
